fold,k,ratio,gen_seed,n_train,bayesian_network,n_valid_returned,n_valid_requested
5,1,5.25,0,38,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A""]], [""h2so4_M"", [""interlayer_A""]], [""scan_rate_mV_s"", [""interlayer_A""]], [""composition_family"", [""interlayer_A""]]]",200,200
5,2,1.0,0,38,"[[""interlayer_A"", [""scan_rate_mV_s""]], [""target_cap_F_g"", [""interlayer_A"", ""scan_rate_mV_s""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s""]], [""layer_class"", [""interlayer_A"", ""scan_rate_mV_s""]], [""composition_family"", [""target_cap_F_g"", ""scan_rate_mV_s""]]]",38,38
5,2,1.0,1,38,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""h2so4_M"", [""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",38,38
5,2,1.0,2,38,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""h2so4_M"", [""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",38,38
5,2,3.0,0,38,"[[""interlayer_A"", [""scan_rate_mV_s""]], [""target_cap_F_g"", [""interlayer_A"", ""scan_rate_mV_s""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s""]], [""layer_class"", [""interlayer_A"", ""scan_rate_mV_s""]], [""composition_family"", [""target_cap_F_g"", ""scan_rate_mV_s""]]]",114,114
5,2,3.0,1,38,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""h2so4_M"", [""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",114,114
5,2,3.0,2,38,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""h2so4_M"", [""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",114,114
5,2,5.25,0,38,"[[""interlayer_A"", [""scan_rate_mV_s""]], [""target_cap_F_g"", [""interlayer_A"", ""scan_rate_mV_s""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s""]], [""layer_class"", [""interlayer_A"", ""scan_rate_mV_s""]], [""composition_family"", [""target_cap_F_g"", ""scan_rate_mV_s""]]]",200,200
5,2,5.25,1,38,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""h2so4_M"", [""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",200,200
5,2,5.25,2,38,"[[""interlayer_A"", [""layer_class""]], [""target_cap_F_g"", [""interlayer_A"", ""layer_class""]], [""scan_rate_mV_s"", [""target_cap_F_g"", ""interlayer_A""]], [""h2so4_M"", [""scan_rate_mV_s"", ""interlayer_A""]], [""composition_family"", [""target_cap_F_g"", ""interlayer_A""]]]",200,200
5,3,1.0,0,38,"[[""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""composition_family"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]]]",38,38
5,3,3.0,0,38,"[[""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""composition_family"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]]]",114,114
5,3,5.25,0,38,"[[""interlayer_A"", [""target_cap_F_g""]], [""scan_rate_mV_s"", [""interlayer_A"", ""target_cap_F_g""]], [""h2so4_M"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""composition_family"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]], [""layer_class"", [""interlayer_A"", ""scan_rate_mV_s"", ""target_cap_F_g""]]]",200,200
