fold,k,ratio,gen_seed,var_a,var_b,mi_real,mi_syn,mi_diff
1,1,5.25,0,scan_rate_mV_s,layer_class,0.08806254932415215,0.028931195513866186,-0.05913135381028597
1,1,5.25,0,layer_class,interlayer_A,0.09111930885238935,0.024290506996436888,-0.06682880185595247
1,1,5.25,0,layer_class,target_cap_F_g,0.09968559788496818,0.027950927703548137,-0.07173467018142005
1,1,5.25,0,layer_class,h2so4_M,0.017910851905708295,0.016139669773524358,-0.001771182132183937
1,1,5.25,0,layer_class,composition_family,0.1262308376206321,0.02283958203600467,-0.10339125558462745
1,1,5.25,0,layer_class,scan_rate_mV_s,0.08806254932415215,0.028931195513866186,-0.05913135381028597
1,1,5.25,0,layer_class,layer_class,1.0,1.0,0.0
1,2,1.0,0,interlayer_A,interlayer_A,1.0,1.0,0.0
1,2,1.0,0,interlayer_A,target_cap_F_g,0.24599861649491667,0.16100953430407136,-0.0849890821908453
1,2,1.0,0,interlayer_A,h2so4_M,0.13012676725268765,0.13741346297978912,0.007286695727101472
1,2,1.0,0,interlayer_A,composition_family,0.18284034185862033,0.14930314832446986,-0.03353719353415047
1,2,1.0,0,interlayer_A,scan_rate_mV_s,0.13167523013698276,0.22858946460600554,0.09691423446902278
1,2,1.0,0,interlayer_A,layer_class,0.09111930885238935,0.06363947380171724,-0.027479835050672113
1,2,1.0,0,target_cap_F_g,interlayer_A,0.24599861649491667,0.16100953430407136,-0.0849890821908453
1,2,1.0,0,target_cap_F_g,target_cap_F_g,1.0,1.0,0.0
1,2,1.0,0,target_cap_F_g,h2so4_M,0.2739375999872824,0.2862394359114849,0.012301835924202476
1,2,1.0,0,target_cap_F_g,composition_family,0.19523576356725625,0.22875310375609556,0.03351734018883931
1,2,1.0,0,target_cap_F_g,scan_rate_mV_s,0.20647966880514146,0.2160943595079795,0.009614690702838047
1,2,1.0,0,target_cap_F_g,layer_class,0.09968559788496818,0.2614505851975506,0.16176498731258243
1,2,1.0,0,h2so4_M,interlayer_A,0.13012676725268765,0.13741346297978912,0.007286695727101472
1,2,1.0,0,h2so4_M,target_cap_F_g,0.2739375999872824,0.2862394359114849,0.012301835924202476
1,2,1.0,0,h2so4_M,h2so4_M,1.0,1.0,0.0
1,2,1.0,0,h2so4_M,composition_family,0.3022979047601231,0.09341896522072794,-0.20887893953939513
1,2,1.0,0,h2so4_M,scan_rate_mV_s,0.1661094624487936,0.12744418221666073,-0.038665280232132865
1,2,1.0,0,h2so4_M,layer_class,0.017910851905708295,0.14971273642086996,0.13180188451516167
1,2,1.0,0,composition_family,interlayer_A,0.18284034185862033,0.14930314832446986,-0.03353719353415047
1,2,1.0,0,composition_family,target_cap_F_g,0.19523576356725625,0.22875310375609556,0.03351734018883931
1,2,1.0,0,composition_family,h2so4_M,0.3022979047601231,0.09341896522072794,-0.20887893953939513
1,2,1.0,0,composition_family,composition_family,1.0,1.0,0.0
1,2,1.0,0,composition_family,scan_rate_mV_s,0.1978387349456568,0.17043303588933975,-0.02740569905631704
1,2,1.0,0,composition_family,layer_class,0.1262308376206321,0.15265576597491307,0.026424928354280952
1,2,1.0,0,scan_rate_mV_s,interlayer_A,0.13167523013698276,0.22858946460600554,0.09691423446902278
1,2,1.0,0,scan_rate_mV_s,target_cap_F_g,0.20647966880514146,0.2160943595079795,0.009614690702838047
1,2,1.0,0,scan_rate_mV_s,h2so4_M,0.1661094624487936,0.12744418221666073,-0.038665280232132865
1,2,1.0,0,scan_rate_mV_s,composition_family,0.1978387349456568,0.17043303588933975,-0.02740569905631704
1,2,1.0,0,scan_rate_mV_s,scan_rate_mV_s,1.0,1.0,0.0
1,2,1.0,0,scan_rate_mV_s,layer_class,0.08806254932415215,0.12343340775469383,0.03537085843054168
1,2,1.0,0,layer_class,interlayer_A,0.09111930885238935,0.06363947380171724,-0.027479835050672113
1,2,1.0,0,layer_class,target_cap_F_g,0.09968559788496818,0.2614505851975506,0.16176498731258243
1,2,1.0,0,layer_class,h2so4_M,0.017910851905708295,0.14971273642086996,0.13180188451516167
1,2,1.0,0,layer_class,composition_family,0.1262308376206321,0.15265576597491307,0.026424928354280952
1,2,1.0,0,layer_class,scan_rate_mV_s,0.08806254932415215,0.12343340775469383,0.03537085843054168
1,2,1.0,0,layer_class,layer_class,1.0,1.0,0.0
1,2,1.0,1,interlayer_A,interlayer_A,1.0,1.0,0.0
1,2,1.0,1,interlayer_A,target_cap_F_g,0.24599861649491667,0.19030299722492153,-0.05569561926999514
1,2,1.0,1,interlayer_A,h2so4_M,0.13012676725268765,0.22582218136367416,0.0956954141109865
1,2,1.0,1,interlayer_A,composition_family,0.18284034185862033,0.2326964961040288,0.04985615424540846
