fold,k,ratio,gen_seed,variable,type,real_pearson_with_target,syn_pearson_with_target,pearson_abs_diff,real_spearman_with_target,syn_spearman_with_target,spearman_abs_diff,sign_preserved,real_eta_squared_on_target,syn_eta_squared_on_target,eta_squared_abs_diff
3,1,5.25,0,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.20583789844058958,0.004602596457851688
3,1,5.25,0,layer_class,categorical,,,,,,,,0.021605105651223984,0.00011167908017414824,0.021493426571049835
3,2,1.0,0,interlayer_A,continuous,-0.10413456126725046,-0.025638725811760264,0.07849583545549019,-0.25858446329249163,-0.34850640113798004,0.08992193784548841,True,,,
3,2,1.0,0,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.36419333541234805,0.1367785514488941
3,2,1.0,0,composition_family,categorical,,,,,,,,0.01566126255814508,0.043904217557985015,0.028242954999839934
3,2,1.0,0,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.4801304854502476,0.27889518346750974
3,2,1.0,0,layer_class,categorical,,,,,,,,0.021605105651223984,0.032221230810169796,0.010616125158945812
3,2,1.0,1,interlayer_A,continuous,-0.10413456126725046,-0.13849491337950384,0.034360352112253384,-0.25858446329249163,-0.44742313163365793,0.1888386683411663,True,,,
3,2,1.0,1,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.3294741481252539,0.10205936416179992
3,2,1.0,1,composition_family,categorical,,,,,,,,0.01566126255814508,0.0022418497782606996,0.013419412779884381
3,2,1.0,1,scan_rate_mV_s,categorical,,,,,,,,0.2012353019827379,0.37523638591541775,0.17400108393267985
3,2,1.0,1,layer_class,categorical,,,,,,,,0.021605105651223984,0.07812326366268699,0.056518158011463
3,2,1.0,2,interlayer_A,continuous,-0.10413456126725046,-0.4498952334315846,0.34576067216433415,-0.25858446329249163,-0.5502790239632345,0.29169456067074284,True,,,
3,2,1.0,2,h2so4_M,categorical,,,,,,,,0.22741478396345396,0.10915734026580722,0.11825744369764675
3,2,1.0,2,composition_family,categorical,,,,,,,,0.01566126255814508,0.012997476312346434,0.0026637862457986466
